id;cost;last_cost;winner
7;25000;11944;1
32;34999;27515;1
42;35720;24947;1
62;2500;15204;1
68;56900;12423;1
18;51600;10429;1
88;24000;14694;1
72;36940;7119;1
79;73000;10738;1
47;92000;8134;1
39;600;26891;1
51;37000;7928;1
30;90000;11611;1
65;50000;9952;1
84;58000;11580;1
40;100000;37419;1
63;92550;11833;1
17;39960;20683;1
70;14403;19898;1
33;20280;20775;1
8;32210;18506;1
9;50000;18447;1
71;30000;16761;1
67;16500;9000;1
26;20000;18062;1
19;99800;33737;0
78;67000;8835;1
38;100000;6269;1
46;36000;11128;1
85;47000;10471;1
82;85000;8409;1
48;50000;5922;0
59;50000;5209;1
25;30000;24117;1
34;12000;18720;1
36;2760;15875;1
61;51732;14621;1
83;75000;5765;0
55;25294;7587;1
27;100000;11408;1
52;80000;10886;1
54;24000;11134;1
56;2000;9394;1
60;17540;22999;1
66;9000;9241;1
43;3969;23887;1
31;95000;12846;1
13;92840;14498;1
86;78000;12573;1
16;50000;23928;1
64;45500;11138;1
20;5000;22283;0
80;75000;11979;1
81;68000;14928;1
74;70800;34172;1
24;5000;45889;1
41;85000;41930;1
6;100000;32141;1
21;100000;31454;1
58;32716;24241;1
69;8300;6443;1
29;35000;20420;1
44;75000;8803;1
87;74000;18536;1
