id;cost;last_cost;winner
7;25000;1;0
32;34999;1046;0
42;35720;1;0
62;2500;1;0
68;56900;1;0
18;51600;1;0
88;24000;1;0
72;36940;1;0
79;73000;1;0
47;92000;1;0
39;600;1;0
51;37000;1;0
30;90000;1;0
65;50000;1;0
84;58000;1;0
40;100000;15386;0
63;92550;1;0
17;39960;1;0
70;14403;1;0
33;20280;1;0
8;32210;1;0
9;50000;1;0
71;30000;1;0
67;16500;1;0
26;20000;1;0
19;99800;3748;0
78;67000;1;0
38;100000;1;0
46;36000;1;0
85;47000;1;0
82;85000;1;0
48;50000;1;0
59;50000;1;0
25;30000;1;0
34;12000;1;0
36;2760;1;0
61;51732;1;0
83;75000;1;0
55;25294;1;0
27;100000;1;0
52;80000;1;0
54;24000;1;0
56;2000;1;0
60;17540;1;0
66;9000;1;0
43;3969;1;0
31;95000;1;0
13;92840;1;0
86;78000;1;0
16;50000;1;0
64;45500;1;0
20;5000;1;0
80;75000;1;0
81;68000;1;0
74;70800;5334;0
24;5000;1000000;1
41;85000;24368;0
6;100000;2308;0
21;100000;1669;0
58;32716;408;0
69;8300;1;0
29;35000;1;0
44;75000;1;0
87;74000;1;0
