id;cost;last_cost;winner
7;25000;15502;1
32;34999;16352;0
42;35720;19686;0
62;2500;9391;0
68;56900;4990;0
18;51600;18058;1
88;24000;24604;1
72;36940;8340;1
79;73000;3041;0
47;92000;3632;1
39;600;13702;1
51;37000;3909;0
30;90000;7155;1
65;50000;5491;0
84;58000;5013;0
40;100000;37134;1
63;92550;8094;0
17;39960;42869;1
70;14403;10537;0
33;20280;11167;0
8;32210;7409;0
9;50000;22210;1
71;30000;29182;1
67;16500;4459;0
26;20000;35286;1
19;99800;62030;1
78;67000;2380;0
38;100000;6405;1
46;36000;10982;1
85;47000;2981;1
82;85000;2621;1
48;50000;1347;1
59;50000;1581;0
25;30000;15881;0
34;12000;10360;1
36;2760;4999;1
61;51732;23702;1
83;75000;1268;0
55;25294;8320;1
27;100000;21024;1
52;80000;3391;0
54;24000;5447;0
56;2000;3173;0
60;17540;14925;0
66;9000;4321;1
43;3969;12343;1
31;95000;21106;1
13;92840;22688;1
86;78000;6424;0
16;50000;19990;0
64;45500;14122;1
20;5000;44081;1
80;75000;3334;1
81;68000;4482;1
74;70800;67761;1
24;5000;109104;1
41;85000;56905;1
6;100000;64930;1
21;100000;28147;1
58;32716;48856;1
69;8300;2637;0
29;35000;43872;1
44;75000;2685;1
87;74000;30816;1
