id;cost;last_cost;winner
7;25000;21388;1
32;34999;29202;0
42;35720;19112;0
62;2500;16674;1
68;56900;8706;1
18;51600;22817;1
88;24000;29735;1
72;36940;5706;1
79;73000;4916;1
47;92000;5957;1
39;600;15021;1
51;37000;5468;1
30;90000;14208;1
65;50000;6426;1
84;58000;8042;1
40;100000;40386;1
63;92550;10480;0
17;39960;48639;1
70;14403;19552;1
33;20280;15965;1
8;32210;12016;0
9;50000;20007;1
71;30000;33513;1
67;16500;5117;0
26;20000;40335;1
19;99800;67922;1
78;67000;3408;1
38;100000;9162;1
46;36000;7416;1
85;47000;5393;0
82;85000;3565;1
48;50000;2071;1
59;50000;2155;1
25;30000;28588;1
34;12000;19449;1
36;2760;8570;1
61;51732;17366;1
83;75000;1957;1
55;25294;7864;1
27;100000;25707;1
52;80000;5419;1
54;24000;6907;1
56;2000;6272;1
60;17540;27881;0
66;9000;5139;1
43;3969;24932;1
31;95000;14525;1
13;92840;26881;0
86;78000;12446;0
16;50000;25566;0
64;45500;16794;1
20;5000;27559;1
80;75000;6110;1
81;68000;8373;1
74;70800;50361;0
24;5000;32062;1
41;85000;42970;1
6;100000;49920;1
21;100000;35737;1
58;32716;30256;1
69;8300;4897;0
29;35000;53940;1
44;75000;4887;1
87;74000;24729;1
